"dateTime,""value""";;Time;Value;
9/01/2021;;16:32:54;81;confidence:1}
9/01/2021;;16:33:09;82;confidence:1}
9/01/2021;;16:33:19;84;confidence:1}
9/01/2021;;16:33:24;83;confidence:1}
9/01/2021;;16:33:29;81;confidence:1}
9/01/2021;;16:33:34;79;confidence:1}
9/01/2021;;16:33:44;82;confidence:1}
9/01/2021;;16:33:49;85;confidence:1}
9/01/2021;;16:33:59;84;confidence:1}
9/01/2021;;16:34:04;82;confidence:1}
9/01/2021;;16:34:09;83;confidence:1}
9/01/2021;;16:34:14;84;confidence:1}
9/01/2021;;16:34:19;84;confidence:2}
9/01/2021;;16:34:29;82;confidence:2}
9/01/2021;;16:34:34;81;confidence:2}
9/01/2021;;16:34:39;82;confidence:2}
9/01/2021;;16:34:44;84;confidence:2}
9/01/2021;;16:34:49;85;confidence:1}
9/01/2021;;16:35:04;86;confidence:1}
9/01/2021;;16:35:14;85;confidence:1}
9/01/2021;;16:35:19;84;confidence:2}
9/01/2021;;16:35:24;83;confidence:1}
9/01/2021;;16:35:29;81;confidence:1}
9/01/2021;;16:35:39;82;confidence:1}
9/01/2021;;16:35:54;81;confidence:1}
9/01/2021;;16:36:04;79;confidence:1}
9/01/2021;;16:36:09;78;confidence:1}
9/01/2021;;16:36:14;77;confidence:1}
9/01/2021;;16:36:29;77;confidence:1}
9/01/2021;;16:36:34;78;confidence:1}
9/01/2021;;16:36:39;84;confidence:1}
9/01/2021;;16:36:49;85;confidence:1}
9/01/2021;;16:36:54;87;confidence:1}
9/01/2021;;16:36:59;88;confidence:1}
9/01/2021;;16:37:04;91;confidence:1}
9/01/2021;;16:37:09;93;confidence:1}
9/01/2021;;16:37:14;91;confidence:1}
9/01/2021;;16:37:19;92;confidence:1}
9/01/2021;;16:37:24;99;confidence:1}
9/01/2021;;16:37:29;98;confidence:1}
9/01/2021;;16:37:34;103;confidence:1}
9/01/2021;;16:37:39;106;confidence:1}
9/01/2021;;16:37:44;105;confidence:1}
9/01/2021;;16:37:49;98;confidence:1}
9/01/2021;;16:37:59;97;confidence:1}
9/01/2021;;16:38:04;93;confidence:1}
9/01/2021;;16:38:09;95;confidence:1}
9/01/2021;;16:38:14;96;confidence:1}
9/01/2021;;16:38:19;98;confidence:1}
9/01/2021;;16:38:24;99;confidence:2}
9/01/2021;;16:38:29;101;confidence:2}
9/01/2021;;16:38:34;100;confidence:2}
9/01/2021;;16:38:44;101;confidence:2}
9/01/2021;;16:38:49;99;confidence:2}
9/01/2021;;16:38:54;95;confidence:2}
9/01/2021;;16:38:59;92;confidence:1}
9/01/2021;;16:39:04;88;confidence:1}
9/01/2021;;16:39:14;92;confidence:1}
9/01/2021;;16:39:19;87;confidence:1}
9/01/2021;;16:39:24;83;confidence:1}
9/01/2021;;16:39:39;86;confidence:1}
9/01/2021;;16:39:44;90;confidence:1}
9/01/2021;;16:39:49;92;confidence:1}
9/01/2021;;16:39:54;95;confidence:1}
9/01/2021;;16:40:04;96;confidence:1}
9/01/2021;;16:40:14;98;confidence:1}
9/01/2021;;16:40:24;96;confidence:1}
9/01/2021;;16:40:29;97;confidence:1}
9/01/2021;;16:40:34;96;confidence:1}
9/01/2021;;16:40:44;95;confidence:1}
9/01/2021;;16:40:49;93;confidence:1}
9/01/2021;;16:40:54;95;confidence:1}
9/01/2021;;16:40:59;88;confidence:1}
9/01/2021;;16:41:04;84;confidence:1}
9/01/2021;;16:41:09;83;confidence:1}
9/01/2021;;16:41:14;88;confidence:1}
9/01/2021;;16:41:19;88;confidence:2}
9/01/2021;;16:41:24;89;confidence:1}
9/01/2021;;16:41:29;90;confidence:1}
9/01/2021;;16:41:44;91;confidence:1}
9/01/2021;;16:41:49;88;confidence:1}
9/01/2021;;16:41:54;87;confidence:1}
9/01/2021;;16:41:59;93;confidence:1}
9/01/2021;;16:42:04;98;confidence:1}
9/01/2021;;16:42:14;106;confidence:2}
9/01/2021;;16:42:19;108;confidence:1}
9/01/2021;;16:42:24;111;confidence:1}
9/01/2021;;16:42:34;108;confidence:1}
9/01/2021;;16:42:39;106;confidence:1}
9/01/2021;;16:42:44;102;confidence:1}
9/01/2021;;16:42:49;98;confidence:1}
