dateTime;value;bpm;confidence;;hora gtm
08-18-2021;19:58:14;60;1};;
08-18-2021;19:58:19;61;1};;
08-18-2021;19:58:24;62;1};;
08-18-2021;19:58:34;61;1};;
08-18-2021;19:58:44;64;1};;
08-18-2021;19:58:49;65;2};;
08-18-2021;19:58:54;64;2};;
08-18-2021;19:58:59;63;2};;
08-18-2021;19:59:04;60;2};;
08-18-2021;19:59:19;59;3};;
08-18-2021;19:59:24;58;3};;
08-18-2021;19:59:29;56;1};;
08-18-2021;19:59:39;58;1};;
08-18-2021;19:59:44;61;1};;
08-18-2021;19:59:49;63;1};;
08-18-2021;19:59:54;62;1};;
08-18-2021;19:59:59;62;2};;
08-18-2021;20:00:04;61;1};;
08-18-2021;20:00:09;64;1};;
08-18-2021;20:00:14;70;3};;
08-18-2021;20:00:19;73;1};;
08-18-2021;20:00:24;74;1};;
08-18-2021;20:00:29;75;1};;
08-18-2021;20:00:34;76;1};;
08-18-2021;20:00:39;77;1};;
08-18-2021;20:00:44;78;1};;
08-18-2021;20:00:49;75;1};;
08-18-2021;20:00:54;75;2};;
08-18-2021;20:00:59;75;1};;
08-18-2021;20:01:04;76;1};;
08-18-2021;20:01:09;70;1};;
08-18-2021;20:01:14;69;1};;
08-18-2021;20:01:19;68;2};;
08-18-2021;20:01:24;65;3};;
08-18-2021;20:01:29;64;1};;
08-18-2021;20:01:39;65;1};;
08-18-2021;20:01:44;71;1};;
08-18-2021;20:01:49;70;1};;
08-18-2021;20:01:54;66;1};;
08-18-2021;20:01:59;65;1};;
08-18-2021;20:02:05;64;1};;
08-18-2021;20:02:10;71;1};;
08-18-2021;20:02:15;74;1};;
08-18-2021;20:02:20;71;3};;
08-18-2021;20:02:25;73;1};;
08-18-2021;20:02:30;75;1};;
08-18-2021;20:02:45;77;1};;
08-18-2021;20:02:50;76;1};;
08-18-2021;20:02:55;74;1};;
08-18-2021;20:03:00;76;1};;
08-18-2021;20:03:05;77;1};;
08-18-2021;20:03:10;75;1};;
08-18-2021;20:03:15;74;1};;
08-18-2021;20:03:20;72;1};;
08-18-2021;20:03:25;71;1};;
